,gt_value,date,region,date_obtained,term_topic
94,17.0,2011-09-01,CH-AG,2021-05-29.xlsx,meth
95,0.0,2011-10-01,CH-AG,2021-05-29.xlsx,meth
96,0.0,2011-11-01,CH-AG,2021-05-29.xlsx,meth
97,0.0,2011-12-01,CH-AG,2021-05-29.xlsx,meth
98,0.0,2012-01-01,CH-AG,2021-05-29.xlsx,meth
99,0.0,2012-02-01,CH-AG,2021-05-29.xlsx,meth
100,11.0,2012-03-01,CH-AG,2021-05-29.xlsx,meth
101,0.0,2012-04-01,CH-AG,2021-05-29.xlsx,meth
102,0.0,2012-05-01,CH-AG,2021-05-29.xlsx,meth
103,0.0,2012-06-01,CH-AG,2021-05-29.xlsx,meth
104,0.0,2012-07-01,CH-AG,2021-05-29.xlsx,meth
105,0.0,2012-08-01,CH-AG,2021-05-29.xlsx,meth
106,0.0,2012-09-01,CH-AG,2021-05-29.xlsx,meth
107,9.0,2012-10-01,CH-AG,2021-05-29.xlsx,meth
108,0.0,2012-11-01,CH-AG,2021-05-29.xlsx,meth
109,10.0,2012-12-01,CH-AG,2021-05-29.xlsx,meth
110,9.0,2013-01-01,CH-AG,2021-05-29.xlsx,meth
111,0.0,2013-02-01,CH-AG,2021-05-29.xlsx,meth
112,0.0,2013-03-01,CH-AG,2021-05-29.xlsx,meth
113,8.0,2013-04-01,CH-AG,2021-05-29.xlsx,meth
114,0.0,2013-05-01,CH-AG,2021-05-29.xlsx,meth
115,8.0,2013-06-01,CH-AG,2021-05-29.xlsx,meth
116,19.0,2013-07-01,CH-AG,2021-05-29.xlsx,meth
117,0.0,2013-08-01,CH-AG,2021-05-29.xlsx,meth
118,8.0,2013-09-01,CH-AG,2021-05-29.xlsx,meth
119,8.0,2013-10-01,CH-AG,2021-05-29.xlsx,meth
120,16.0,2013-11-01,CH-AG,2021-05-29.xlsx,meth
121,16.0,2013-12-01,CH-AG,2021-05-29.xlsx,meth
122,7.0,2014-01-01,CH-AG,2021-05-29.xlsx,meth
123,8.0,2014-02-01,CH-AG,2021-05-29.xlsx,meth
124,21.0,2014-03-01,CH-AG,2021-05-29.xlsx,meth
125,0.0,2014-04-01,CH-AG,2021-05-29.xlsx,meth
126,8.0,2014-05-01,CH-AG,2021-05-29.xlsx,meth
127,0.0,2014-06-01,CH-AG,2021-05-29.xlsx,meth
128,0.0,2014-07-01,CH-AG,2021-05-29.xlsx,meth
129,0.0,2014-08-01,CH-AG,2021-05-29.xlsx,meth
130,0.0,2014-09-01,CH-AG,2021-05-29.xlsx,meth
131,0.0,2014-10-01,CH-AG,2021-05-29.xlsx,meth
132,17.0,2014-11-01,CH-AG,2021-05-29.xlsx,meth
133,9.0,2014-12-01,CH-AG,2021-05-29.xlsx,meth
134,8.0,2015-01-01,CH-AG,2021-05-29.xlsx,meth
135,9.0,2015-02-01,CH-AG,2021-05-29.xlsx,meth
136,0.0,2015-03-01,CH-AG,2021-05-29.xlsx,meth
137,0.0,2015-04-01,CH-AG,2021-05-29.xlsx,meth
138,8.0,2015-05-01,CH-AG,2021-05-29.xlsx,meth
139,9.0,2015-06-01,CH-AG,2021-05-29.xlsx,meth
140,10.0,2015-07-01,CH-AG,2021-05-29.xlsx,meth
141,9.0,2015-08-01,CH-AG,2021-05-29.xlsx,meth
142,0.0,2015-09-01,CH-AG,2021-05-29.xlsx,meth
143,0.0,2015-10-01,CH-AG,2021-05-29.xlsx,meth
144,9.0,2015-11-01,CH-AG,2021-05-29.xlsx,meth
145,0.0,2015-12-01,CH-AG,2021-05-29.xlsx,meth
146,0.0,2016-01-01,CH-AG,2021-05-29.xlsx,meth
