"term","extraction_date","count"
"amoxicillin",2021-04-21,118
"amoxicillin",2021-04-22,118
"amoxicillin",2021-04-24,118
"amoxicillin",2021-04-25,118
"amoxicillin",2021-04-26,118
"amoxicillin",2021-04-27,118
"amoxicillin",2021-04-28,118
"amoxicillin",2021-04-29,118
"amoxicillin",2021-04-30,118
"amoxicillin",2021-05-01,118
"amoxicillin",2021-05-02,118
"amoxicillin",2021-05-03,118
"amoxicillin",2021-05-06,118
"amoxicillin",2021-05-07,118
"amoxicillin",2021-05-08,118
"amoxicillin",2021-05-09,118
"amoxicillin",2021-05-10,118
"amoxicillin",2021-05-11,118
"amoxicillin",2021-05-12,118
"amoxicillin",2021-05-13,118
"amoxicillin",2021-05-14,118
"amoxicillin",2021-05-15,118
"amoxicillin",2021-05-16,118
"amoxicillin",2021-05-17,118
"amoxicillin",2021-05-18,118
"amoxicillin",2021-05-19,118
"amoxicillin",2021-05-20,118
"amoxicillin",2021-05-21,118
"amoxicillin",2021-05-22,118
"amoxicillin",2021-05-23,118
"amoxicillin",2021-05-24,118
"amoxicillin",2021-05-26,118
"amoxicillin",2021-05-27,118
"amoxicillin",2021-05-29,118
"amoxicillin",2021-05-31,118
"amoxicillin",2021-06-01,118
"amoxicillin",2021-06-02,118
"amoxicillin",2021-06-03,118
"amoxicillin",2021-06-04,118
"amoxicillin",2021-06-05,118
"amoxicillin",2021-06-06,118
"amoxicillin",2021-06-07,118
"amoxicillin",2021-06-08,118
"amoxicillin",2021-06-09,118
"amoxicillin",2021-06-10,118
"amoxicillin",2021-06-11,118
"amoxicillin",2021-06-16,118
"amoxicillin",2021-06-17,118
"amoxicillin",2021-06-19,118
"amoxicillin",2021-06-20,118
"amoxicillin",2021-06-21,118
"amoxicillin",2022-03-14,118
"amoxicillin",2022-03-15,118
"amoxicillin",2022-03-16,118
"amoxicillin",2022-03-17,118
"amoxicillin",2022-03-18,118
"amoxicillin",2022-03-19,118
"amoxicillin",2022-03-20,118
"amoxicillin",2022-03-21,118
"amoxicillin",2022-03-22,118
"amoxicillin",2022-03-23,118
"amoxicillin",2022-03-24,118
"amoxicillin",2022-03-25,118
"amoxicillin",2022-03-26,118
"amoxicillin",2022-03-27,118
"amoxicillin",2022-03-28,118
"amoxicillin",2022-03-29,118
"amoxicillin",2022-03-30,118
"amoxicillin",2022-03-31,118
"amoxicillin",2022-04-01,118
"amoxicillin",2022-04-02,118
"amoxicillin",2022-04-03,118
"amoxicillin",2022-04-04,118
"amoxicillin",2022-04-05,118
"amoxicillin",2022-04-06,118
"amoxicillin",2022-04-07,118
"amoxicillin",2022-04-08,118
"amoxicillin",2022-04-09,118
"amoxicillin",2022-04-10,118
